transaction_id,customer_age,transaction_amount,transaction_hour,payment_method,device_type,customer_location,account_age_days,previous_transactions,failed_transactions_last_24h,is_international,is_fraud
10001,32,21682.31,7,UPI,Desktop,Pune,68,20,0,1,1
10002,56,1515.62,23,UPI,Mobile,Mumbai,1,24,0,0,0
10003,37,3493.36,5,Debit Card,Mobile,Bengaluru,347,30,0,0,0
10004,48,11594.29,0,Credit Card,Mobile,Bengaluru,50,21,0,0,0
10005,32,2864.28,13,UPI,Mobile,Delhi,52,20,2,1,0
10006,33,3329.55,3,UPI,Mobile,Mumbai,773,24,0,0,0
10007,42,2767.84,16,UPI,Mobile,Ahmedabad,39,16,1,0,0
10008,43,2223.57,14,Debit Card,Mobile,Ahmedabad,119,19,1,1,0
10009,32,5231.55,16,UPI,Mobile,Bengaluru,161,23,0,0,0
10010,18,1614.66,19,Net Banking,Mobile,Mumbai,57,19,2,0,0
10011,32,5403.03,23,UPI,Mobile,Bengaluru,337,21,0,0,0
10012,41,3451.59,12,UPI,Mobile,Bengaluru,385,23,1,0,0
10013,34,2234.58,5,UPI,Mobile,Delhi,80,17,1,0,0
10014,39,2736.13,22,UPI,Tablet,Mumbai,1,18,0,1,1
10015,36,10473.83,7,UPI,Mobile,Mumbai,301,18,2,0,0
10016,18,12528.41,2,Credit Card,Mobile,Mumbai,376,19,1,0,0
10017,43,14801.61,16,Credit Card,Mobile,Mumbai,155,24,0,0,0
10018,27,3686.76,1,UPI,Mobile,Delhi,675,10,0,0,0
10019,28,372.9,1,UPI,Mobile,Delhi,280,27,0,0,0
10020,40,2567.74,11,Debit Card,Mobile,Bengaluru,134,27,0,0,0
10021,25,6837.13,3,UPI,Desktop,Bengaluru,1020,21,1,1,0
10022,36,2626.74,5,Debit Card,Mobile,Delhi,192,20,1,0,0
10023,24,1826.11,9,UPI,Mobile,Ahmedabad,93,10,0,0,0
10024,31,1705.47,20,UPI,Tablet,Pune,13,20,0,0,1
10025,29,8778.79,6,UPI,Mobile,Delhi,14,20,1,0,0
10026,28,2098.8,5,UPI,Mobile,Delhi,2,14,3,0,1
10027,25,1452.28,10,UPI,Mobile,Mumbai,67,23,0,0,0
10028,33,11256.59,12,UPI,Desktop,Pune,185,16,0,0,0
10029,35,34457.25,14,Net Banking,Mobile,Delhi,85,23,2,0,0
10030,44,1529.04,7,UPI,Mobile,Mumbai,29,21,0,0,0
10031,27,1661.52,4,Credit Card,Mobile,Ahmedabad,1073,17,0,0,0
10032,34,7804.03,20,UPI,Desktop,Pune,202,22,1,0,0
10033,58,856.88,1,UPI,Mobile,Pune,903,19,0,0,0
10034,38,642.65,14,UPI,Mobile,Jaipur,199,14,0,0,0
10035,39,1281.75,5,UPI,Mobile,Delhi,75,20,0,0,0
10036,38,4823.18,13,UPI,Mobile,Mumbai,5,20,0,0,0
10037,18,5682.2,21,UPI,Desktop,Delhi,29,22,1,0,0
10038,31,1688.46,21,UPI,Mobile,Bengaluru,200,20,0,0,0
10039,18,529.44,8,UPI,Desktop,Delhi,68,21,2,0,0
10040,43,4608.63,7,UPI,Mobile,Bengaluru,628,17,2,0,0
10041,52,2112.52,8,Credit Card,Mobile,Delhi,89,16,0,0,0
10042,28,4864.62,22,UPI,Desktop,Delhi,102,19,0,1,0
10043,53,5300.46,9,UPI,Mobile,Bengaluru,186,18,1,0,0
10044,21,352.1,18,UPI,Mobile,Bengaluru,152,27,4,0,0
10045,20,6096.49,20,UPI,Mobile,Ahmedabad,45,16,0,0,0
10046,40,6856.12,3,Net Banking,Mobile,Delhi,66,17,3,0,0
10047,25,6727.21,22,UPI,Mobile,Mumbai,85,22,2,1,1
10048,28,4269.32,22,UPI,Mobile,Pune,12,20,2,0,0
10049,45,1008.31,21,UPI,Mobile,Bengaluru,41,25,0,0,0
10050,23,3499.56,10,UPI,Mobile,Ahmedabad,24,17,2,0,0
10051,30,3563.63,1,UPI,Mobile,Jaipur,201,15,2,0,0
10052,32,549.16,1,UPI,Mobile,Jaipur,427,16,2,0,0
10053,38,1468.81,11,Credit Card,Mobile,Delhi,122,26,0,0,0
10054,42,2428.36,3,UPI,Desktop,Bengaluru,208,23,0,0,0
10055,32,3720.2,2,UPI,Desktop,Mumbai,108,20,1,0,0
10056,20,881.07,4,UPI,Mobile,Mumbai,13,25,0,0,0
10057,45,7051.59,15,UPI,Desktop,Bengaluru,8,27,1,0,0
10058,65,707.27,12,UPI,Mobile,Jaipur,574,24,3,0,0
10059,43,6832.17,6,UPI,Mobile,Mumbai,65,13,3,0,0
10060,40,2323.84,2,UPI,Mobile,Mumbai,206,22,1,0,0
10061,29,13277.94,16,UPI,Mobile,Pune,279,13,3,0,1
10062,31,3739.17,14,UPI,Mobile,Ahmedabad,63,29,1,0,0
10063,18,1803.52,17,Debit Card,Mobile,Ahmedabad,12,14,1,0,0
10064,40,3903.73,2,UPI,Tablet,Bengaluru,545,26,2,0,0
10065,32,3763.78,16,UPI,Mobile,Bengaluru,24,17,1,0,1
10066,48,867.93,6,UPI,Mobile,Jaipur,189,19,0,0,0
10067,22,7230.33,18,UPI,Mobile,Pune,136,9,0,0,0
10068,49,1428.78,11,UPI,Tablet,Bengaluru,577,13,0,0,0
10069,30,3155.86,9,UPI,Mobile,Jaipur,568,28,1,0,0
10070,27,4712.91,10,UPI,Desktop,Jaipur,786,26,0,0,0
10071,28,7188.61,14,Credit Card,Mobile,Jaipur,196,20,3,0,0
10072,27,2036.63,10,UPI,Mobile,Delhi,150,21,0,0,0
10073,18,698.68,1,UPI,Mobile,Bengaluru,150,20,0,0,0
10074,41,2941.44,12,UPI,Mobile,Mumbai,126,18,0,0,0
10075,42,4842.63,18,UPI,Mobile,Delhi,32,19,1,0,0
10076,48,2083.79,19,UPI,Mobile,Delhi,71,19,3,0,0
10077,41,2617.84,21,Credit Card,Mobile,Ahmedabad,830,22,1,1,0
10078,41,4852.8,3,UPI,Mobile,Delhi,444,12,0,0,0
10079,18,9175.51,11,UPI,Mobile,Jaipur,236,22,1,0,0
10080,36,1859.47,7,Debit Card,Mobile,Delhi,610,14,1,0,0
10081,21,3273.23,11,UPI,Mobile,Bengaluru,35,26,2,0,0
10082,30,22736.21,5,UPI,Mobile,Delhi,291,25,4,0,0
10083,49,8215.44,9,UPI,Mobile,Pune,394,20,0,0,0
10084,34,567.14,18,UPI,Mobile,Delhi,288,16,0,0,0
10085,18,2037.77,23,UPI,Desktop,Ahmedabad,143,23,0,0,0
10086,22,922.34,11,Debit Card,Mobile,Jaipur,538,21,2,0,0
10087,27,9172.85,11,UPI,Mobile,Bengaluru,195,14,1,0,1
10088,31,3969.71,6,UPI,Mobile,Delhi,31,22,1,0,0
10089,44,2202.57,9,UPI,Tablet,Mumbai,57,22,2,0,0
10090,43,4116.93,16,UPI,Mobile,Mumbai,18,22,0,0,0
10091,42,1866.88,9,UPI,Mobile,Delhi,702,17,0,1,1
10092,36,3435.74,10,UPI,Desktop,Ahmedabad,272,27,4,0,0
10093,30,4784.43,13,UPI,Mobile,Delhi,841,22,1,0,0
10094,30,2001.12,12,Debit Card,Mobile,Ahmedabad,71,11,0,0,0
10095,38,928.62,11,UPI,Mobile,Pune,540,14,1,1,0
10096,44,3154.11,0,UPI,Mobile,Pune,96,28,3,0,0
10097,51,3452.08,11,UPI,Mobile,Pune,1072,19,0,1,0
10098,35,11657.66,20,UPI,Mobile,Mumbai,348,13,0,0,0
10099,37,2296.24,8,UPI,Desktop,Delhi,10,25,0,0,0
10100,50,1822.76,13,UPI,Mobile,Mumbai,43,24,0,1,0
10101,22,19212.18,19,UPI,Mobile,Jaipur,105,17,1,1,0
10102,43,1847.57,23,UPI,Mobile,Jaipur,95,9,3,0,0
10103,25,8576.67,13,UPI,Mobile,Jaipur,140,16,0,0,0
10104,51,2293.15,20,UPI,Tablet,Delhi,824,29,1,0,0
10105,49,1437.5,13,UPI,Mobile,Bengaluru,42,21,0,1,1
10106,52,6017.87,8,UPI,Mobile,Jaipur,275,18,1,0,0
10107,50,4087.26,9,Debit Card,Mobile,Bengaluru,141,18,1,0,0
10108,43,2323.57,12,UPI,Mobile,Bengaluru,159,28,2,0,0
10109,22,3953.1,22,UPI,Mobile,Jaipur,593,22,0,0,0
10110,39,15857.22,13,UPI,Mobile,Ahmedabad,249,23,2,0,0
10111,43,11238.61,6,Credit Card,Mobile,Pune,994,15,1,1,1
10112,39,4094.06,20,Debit Card,Mobile,Pune,189,23,2,0,0
10113,32,1799.51,1,Net Banking,Mobile,Bengaluru,167,17,0,0,0
10114,35,2398.05,9,UPI,Desktop,Pune,217,19,1,0,0
10115,38,2769.76,4,Debit Card,Mobile,Pune,319,21,2,0,0
