transaction_id,customer_age,transaction_amount,transaction_hour,payment_method,device_type,customer_location,account_age_days,previous_transactions,failed_transactions_last_24h,is_international,is_fraud
1,39,950.71,16,Credit Card,Mobile,Bengaluru,655,25,1,0,0
2,33,1281.26,17,UPI,Mobile,Jaipur,192,32,1,0,0
3,41,1014.44,3,Net Banking,Desktop,Bengaluru,177,18,2,0,0
4,50,1787.07,2,Debit Card,Mobile,Mumbai,513,20,0,0,1
5,32,4263.06,7,UPI,Desktop,Bengaluru,84,26,1,0,0
6,32,882.86,3,Credit Card,Mobile,Delhi,1008,25,2,0,0
7,50,3643.34,22,Credit Card,Tablet,Delhi,245,22,1,0,0
8,42,875.38,14,UPI,Mobile,Jaipur,9,27,2,0,0
9,30,830.39,12,Debit Card,Desktop,Pune,182,30,0,0,0
10,40,3149.11,13,UPI,Mobile,Bengaluru,768,23,1,0,0
11,30,3420.52,13,Credit Card,Mobile,Ahmedabad,980,29,0,0,0
12,30,3232.88,4,Credit Card,Mobile,Pune,419,23,0,0,0
13,37,570.98,4,Credit Card,Mobile,Pune,174,22,0,0,0
14,18,1126.92,21,Debit Card,Desktop,Bengaluru,375,18,1,0,0
15,18,3160.2,12,UPI,Mobile,Jaipur,905,24,1,0,0
16,29,1691.27,3,UPI,Desktop,Ahmedabad,189,34,0,0,0
17,24,693.01,17,Credit Card,Desktop,Jaipur,243,29,1,0,0
18,38,2360.56,5,UPI,Mobile,Mumbai,387,33,0,0,0
19,25,923.48,4,UPI,Mobile,Pune,1090,28,0,0,0
20,20,6874.81,2,Credit Card,Desktop,Mumbai,436,37,1,0,0
21,49,5630.05,19,UPI,Mobile,Delhi,116,21,1,0,0
22,32,2652.55,2,UPI,Mobile,Mumbai,46,19,2,0,0
23,35,4860.06,2,UPI,Desktop,Ahmedabad,49,32,0,0,0
24,20,1723.02,19,UPI,Mobile,Ahmedabad,1500,29,0,0,0
25,29,3018.0,1,Credit Card,Mobile,Bengaluru,864,28,0,0,0
26,36,5335.7,19,UPI,Mobile,Pune,725,27,0,0,0
27,23,1991.01,17,Net Banking,Tablet,Jaipur,342,27,0,0,0
28,38,1333.88,9,UPI,Mobile,Delhi,558,26,0,0,0
29,28,418.34,23,Credit Card,Tablet,Mumbai,68,29,0,0,0
30,32,1530.72,20,Debit Card,Mobile,Jaipur,484,31,0,0,0
31,28,3161.3,6,UPI,Mobile,Mumbai,832,23,0,0,0
32,53,3485.99,19,Debit Card,Desktop,Jaipur,32,22,0,0,0
33,34,2449.14,21,Debit Card,Mobile,Mumbai,175,24,1,0,0
34,24,1060.99,13,UPI,Mobile,Jaipur,58,22,0,0,0
35,43,336.48,9,Net Banking,Mobile,Delhi,150,21,1,0,0
36,22,1100.84,19,UPI,Tablet,Pune,740,27,0,0,0
37,37,1282.45,15,UPI,Mobile,Delhi,201,35,2,0,0
